date,site,acc,run_count,P,run_ID
8/21/2019,BF,24,30,I,1
8/21/2019,GB,24,20,I,2
8/21/2019,HM,24,25,I,3
8/23/2019,BF,24,30,I,4
8/23/2019,GB,24,6,I,5
8/23/2019,HM,24,24,I,6
8/24/2019,TO,24,30,I,7
8/24/2019,TO,24,6,I,8
8/24/2019,WH,24,12,I,9
8/26/2019,FB,24,30,I,10
8/26/2019,FB,24,9,I,11
8/26/2019,OY,24,13,I,12
8/27/2019,BF,20,30,I,13
8/27/2019,HM,20,30,I,14
8/27/2019,OY,20,30,I,15
8/28/2019,BF,20,30,I,16
8/28/2019,HM,20,30,I,17
8/28/2019,TO,20,30,I,18
8/29/2019,GB,20,30,I,19
8/29/2019,OY,20,30,I,20
8/29/2019,TO,20,28,I,21
8/31/2019,FB,20,30,I,22
8/31/2019,GB,20,30,I,23
8/31/2019,WH,20,30,I,24
9/1/2019,FB,20,30,I,25
9/1/2019,WH,20,30,I,26
9/4/2019,HM,24,30,I,27
9/4/2019,OY,24,30,I,28
9/4/2019,OY,24,30,I,29
9/7/2019,BF,20,30,III,30
9/7/2019,BF,20,30,III,31
9/7/2019,HM,20,30,III,32
9/11/2019,BF,20,30,II,33
9/11/2019,GB,20,21,II,34
9/11/2019,HM,20,30,II,35
9/13/2019,FB,20,30,II,36
9/13/2019,OY,20,27,II,37
9/13/2019,WH,20,23,II,38
9/16/2019,FB,20,12,II,39
9/16/2019,HM,20,14,II,40
9/16/2019,TO,20,7,II,41
