"","run_ID","LT50","date","site","acc","run_count","P","mean.sst","s.mean.sst","q.mean.sst","t.mean.sst","oce","max","lat","wt.t","wt.max"
"1",1,37.6482112544129,"8/21/2019","BF","24",30,1,19.737689000189,28.284144124491,29.1,29.8,"a",31,34.819,7.84821125441292,6.64821125441292
"2",4,38.9967833948099,"8/23/2019","BF","24",30,1,19.737689000189,28.284144124491,29.1,29.8,"a",31,34.819,9.19678339480988,7.99678339480988
"3",6,38.9954128120981,"8/23/2019","HM","24",24,1,14.4331228987673,17.3631819357063,18.77,19.78,"p",21.8,40.849448,19.2154128120981,17.1954128120981
"4",7,38.9630069259776,"8/24/2019","TO","24",30,1,17.9062122227919,20.9178890837088,22.1473,22.711,"p",24.1218,38.12805,16.2520069259776,14.8412069259776
"5",10,39.1215801319261,"8/26/2019","FB","24",30,1,20.3494395727143,29.121257011362,29.8,30,"a",31.3,32.660525,9.12158013192607,7.82158013192607
"6",13,39.8333449646792,"8/27/2019","BF","20",30,1,19.737689000189,28.284144124491,29.1,29.8,"a",31,34.819,10.0333449646792,8.83334496467917
"7",14,38.3641320834289,"8/27/2019","HM","20",30,1,14.4331228987673,17.3631819357063,18.77,19.78,"p",21.8,40.849448,18.5841320834289,16.5641320834289
"8",15,39.8333449646792,"8/27/2019","OY","20",30,1,17.08423552253,27.5402033688699,28.92496,30.07281,"a",33.56934,37.288562,9.76053496467917,6.26400496467917
"9",16,38.7178694084462,"8/28/2019","BF","20",30,1,19.737689000189,28.284144124491,29.1,29.8,"a",31,34.819,8.9178694084462,7.7178694084462
"10",17,40.1764831427219,"8/28/2019","HM","20",30,1,14.4331228987673,17.3631819357063,18.77,19.78,"p",21.8,40.849448,20.3964831427219,18.3764831427219
"11",18,38.7178694084462,"8/28/2019","TO","20",30,1,17.9062122227919,20.9178890837088,22.1473,22.711,"p",24.1218,38.12805,16.0068694084462,14.5960694084462
"12",19,39.1910028633117,"8/29/2019","GB","20",30,1,12.4009737864078,20.8896884628852,22.911,23.697,"a",25.963,43.089589,15.4940028633117,13.2280028633117
"13",20,39.1910028633117,"8/29/2019","OY","20",30,1,17.08423552253,27.5402033688699,28.92496,30.07281,"a",33.56934,37.288562,9.11819286331171,5.62166286331171
"14",21,39.1885947198713,"8/29/2019","TO","20",28,1,17.9062122227919,20.9178890837088,22.1473,22.711,"p",24.1218,38.12805,16.4775947198713,15.0667947198713
"15",22,40.0324093061301,"8/31/2019","FB","20",30,1,20.3494395727143,29.121257011362,29.8,30,"a",31.3,32.660525,10.0324093061301,8.73240930613009
"16",23,38.5484939465316,"8/31/2019","GB","20",30,1,12.4009737864078,20.8896884628852,22.911,23.697,"a",25.963,43.089589,14.8514939465316,12.5854939465316
"17",24,39.0081198309423,"8/31/2019","WH","20",30,1,12.1004425979912,21.3536016727653,23.6,24.3,"a",26,41.57687,14.7081198309423,13.0081198309423
"18",25,39.8651344499061,"9/1/2019","FB","20",30,1,20.3494395727143,29.121257011362,29.8,30,"a",31.3,32.660525,9.86513444990609,8.56513444990609
"19",26,39.8651344499061,"9/1/2019","WH","20",30,1,12.1004425979912,21.3536016727653,23.6,24.3,"a",26,41.57687,15.5651344499061,13.8651344499061
"20",27,39.1006655957535,"9/4/2019","HM","24",30,1,14.4331228987673,17.3631819357063,18.77,19.78,"p",21.8,40.849448,19.3206655957535,17.3006655957535
"21",28,35.6021795379885,"9/4/2019","OY","24",30,1,17.08423552253,27.5402033688699,28.92496,30.07281,"a",33.56934,37.288562,5.52936953798853,2.03283953798854
"22",29,38.3346083561373,"9/4/2019","OY","24",30,1,17.08423552253,27.5402033688699,28.92496,30.07281,"a",33.56934,37.288562,8.26179835613732,4.76526835613732
